Organization	Sep-03	Jul-03	Mar-03	Feb-03	Jan-03	Dec-02	Nov-02	Oct-02	Sep-02	Aug-02	Jul-02	Jun-02	May-02	Apr-02	Mar-02	Feb-02	Jan-02	Dec-01	Nov-01	Oct-01	Sep-01	Jun-01	May-01	Mar-01	Feb-01	Jan-01	Dec-00	Oct-00	Sep-00	Aug-00	Jun-00	Feb-00	Nov-99	Sep-99	Mar-99	Jan-99	Dec-98	Nov-98	Oct-98	Sep-98	Jun-98	Mar-98	Jan-98	Dec-98	Sep-97	May-97	Jan-97	Sep-96	Jul-96	Jun-96	Apr-96	Mar-96	Feb-96	Jan-96	Oct-95	Sep-95	Jul-95	Jun-95	May-95	Mar-95	Feb-95	Nov-94	Sep-94	Feb-94	Nov-93	Jan-93	Mar-92	Dec-91	
AIDS Work Tompkins County (Southern Tier Aids Program)																						300									400																																						
AIDS Work of Tompkins County (Southern Tier Aids Program)						300										500	500								500						400		500			450					450					400												250					500	100					
Alcohol & Drug Council			500																																																																		
Alcoholism Council/Tompkins																500	500								500							500			500								500																							500			
All Saints Parish																																																										1000		500									
Alt Fed Credit Union																																									250																												
Amnesty International						500										500	500								500							500				500				200					200							200									100			25					
Area Congregations Together (ACT)																300	300								300							300			300					300					300				300							200						200		200					
Battered Women, Task Force for									300							350	350											500	500				500																				500										500						
Bethany House									500																																																												
Birthright																500	500								500							500									500									500								500											
Black & Indian Mission (DOR)														250																																															500								
Blink Work Association																																																											100						50				
Boys Town																																									250																												
Bread for the World	200																				200															500		200							200									200								150		150					
CARE	350															300	300					300										400			400	100				400						100		300						300						200			100						
CEZOPAS																																		344.37			5140																																
Camp Stella Maris																																			400							326												300										50					
Catholic Bishops of Northern Alaska																															250									200					200									200				100											
Catholic Charities - Tompkins Co.																															2000							2000																															
Catholic Charities of Southern Tier																																				2000		2000																															
Catholic Church of Old Maswa																																																						350															
Catholic Communications Campaign (DOR)											250																																																										
Catholic Family Center																				300											400																																						
Catholic Family Ctr. Refugee Reset...																															400				400						450					400				300																			
Catholic Home Missions Appeal (DOR)													450																																																								
Catholic Near East Welfare Association																																													500												500					120							
Catholic Relief Services	500		500													750	905.56								2000							500			500							500				500								500			250				700			200					
Catholic Relief Services: Interfaith Hunger Appeal																																													300			300						300					300					100					
Cayuga Heights Fire Co., #1								250																																																													
